x y id
-122.358 37.5339 1
-122.358 37.5342 1
-122.357 37.5342 1
-122.357 37.5346 1
-122.355 37.5355 1
-122.357 37.5373 1
-122.356 37.5379 1
-122.358 37.5399 1
-122.361 37.5405 1
-122.362 37.5406 1
-122.362 37.5412 1
-122.364 37.544 1
-122.364 37.5443 1
-122.361 37.546 1
-122.361 37.5464 1
-122.36 37.5475 1
-122.359 37.5486 1
-122.356 37.5509 1
-122.356 37.5517 1
-122.356 37.552 1
-122.355 37.5521 1
-122.352 37.5509 1
-122.35 37.553 1
-122.35 37.5535 1
-122.35 37.5537 1
-122.351 37.555 1
-122.351 37.556 1
-122.351 37.5563 1
-122.351 37.5564 1
-122.349 37.5589 1
-122.349 37.5596 1
-122.349 37.5597 1
-122.351 37.5612 1
-122.349 37.5619 1
-122.348 37.5623 1
-122.345 37.5638 1
-122.345 37.564 1
-122.346 37.565 1
-122.345 37.5651 1
-122.345 37.5654 1
-122.344 37.566 1
-122.343 37.5661 1
-122.343 37.5662 1
-122.342 37.5663 1
-122.342 37.5666 1
-122.342 37.5671 1
-122.341 37.5672 1
-122.34 37.5677 1
-122.339 37.5682 1
-122.338 37.5686 1
-122.337 37.569 1
-122.337 37.5691 1
-122.337 37.5692 1
-122.336 37.5695 1
-122.336 37.5697 1
-122.335 37.5699 1
-122.335 37.5702 1
-122.337 37.5717 1
-122.336 37.5722 1
-122.337 37.5731 1
-122.335 37.5744 1
-122.336 37.5751 1
-122.335 37.5758 1
-122.334 37.5762 1
-122.333 37.5771 1
-122.334 37.578 1
-122.336 37.5797 1
-122.335 37.5802 1
-122.335 37.5804 1
-122.334 37.5807 1
-122.334 37.5809 1
-122.333 37.5814 1
-122.332 37.5819 1
-122.332 37.5825 1
-122.331 37.583 1
-122.331 37.583 1
-122.331 37.5831 1
-122.33 37.5834 1
-122.329 37.5842 1
-122.329 37.5843 1
-122.329 37.5844 1
-122.328 37.5845 1
-122.328 37.5846 1
-122.328 37.585 1
-122.328 37.5854 1
-122.329 37.5861 1
-122.33 37.5863 1
-122.331 37.5866 1
-122.331 37.5866 1
-122.332 37.5868 1
-122.334 37.5871 1
-122.335 37.5873 1
-122.335 37.5879 1
-122.335 37.5883 1
-122.338 37.591 1
-122.341 37.5905 1
-122.342 37.5897 1
-122.342 37.5896 1
-122.343 37.5894 1
-122.344 37.5895 1
-122.346 37.5896 1
-122.346 37.5896 1
-122.347 37.5897 1
-122.349 37.5898 1
-122.35 37.5904 1
-122.35 37.5905 1
-122.35 37.5911 1
-122.351 37.5917 1
-122.351 37.5918 1
